content_rating,genres,runtime,budget,gross,num_voted_users,num_critic_for_reviews,num_user_for_reviews,imdb_score,aspect_ratio,cast_total_facebook_likes
G,Action,85,6500000,70527,7690,27,68,6.7,1.85,14656
G,Action,118,7000000,46451,7663,27,38,6,1.85,27756
G,Action,80,20000000,1646664,4518,28,66,2.8,1.85,2467
G,Action,80,2500000,99851,1138,28,30,7.1,1.78,210
G,Action,82,1000000,12996,1938,29,54,6,1.85,3905
G,Action,112,25000000,77231,3322,30,32,6,2.35,2115
G,Action,101,3500000,220234,1950,30,24,6.5,1.85,3574
G,Action,119,2000000,4958,9689,30,23,7.8,2.35,86
G,Action,300,400000000,454255,1666,31,47,6.6,1.85,32
G,Action,88,750000,47329,1661,31,31,6.6,1.78,243
G,Action,80,1500000,194568,2963,32,28,6.2,1.85,2179
G,Action,103,14000000,75078,1398,34,26,6.3,1.85,1403
G,Action,93,12000000,31155435,42644,34,102,6.2,1.85,6105
G,Action,92,14000,12667,19336,34,90,6.6,2.35,39518
G,Action,87,1000000,19539,4182,35,53,6.2,1.85,6227
G,Action,107,850000,819939,14580,35,252,7.2,1.85,26017
G,Action,105,1500000,3123749,746,35,27,6.5,1.85,1231
G,Action,125,5000000,223878,3548,36,21,6.5,2.35,132
G,Action,97,6000000,117560,2330,36,29,6.2,1.85,1081
G,Action,93,4000000,4063,2086,36,20,5.2,2.35,242
NC-17,Action,97,1000000,62480,1048,36,7,5.5,2.39,928
NC-17,Action,97,200000,78030,1034,37,10,6.5,2.35,3021
NC-17,Action,106,225000,1027119,2742,38,73,7,1.85,964
PG,Action,116,17500000,325491,4387,38,67,6,1.85,245
PG,Action,96,10000000,6044618,6200,38,92,5.6,2.35,26961
PG,Action,96,7000000,196067,1966,39,25,6.7,1.85,1251
PG,Action,98,5000000,296665,12675,39,158,6.3,1.85,5185
PG,Action,94,15300000,81525,29392,40,91,6.6,2.35,303
PG,Action,90,6000000,22235901,4339,40,31,6.1,1.85,2815
PG,Action,95,14000000,25482931,9693,40,33,5.7,2.35,1421
PG,Action,98,2700000,95016,11074,40,56,7.4,1.85,362
PG,Action,93,15500000,1181197,3299,40,24,5.9,1.85,4329
PG,Action,130,16000000,28734552,9566,41,81,6.4,1.85,3107
PG,Action,99,4000000,562059,8535,41,113,7,1.85,3130
PG,Action,99,8000000,398420,5049,41,48,6.4,2.35,1234
PG,Action,100,22000000,121972,9868,42,81,5.5,1.85,15612
PG,Action,94,6500000,4693919,11011,42,78,4.6,1.85,4484
PG,Action,86,10000000,226792,3080,43,44,6.2,1.85,3049
PG,Action,78,150000,191309,2787,43,64,5.5,1.85,1008
PG,Action,111,11000000,1066555,2618,43,111,5.8,1.85,1526
PG,Action,145,10818775,5669081,3665,43,57,6.6,2.35,1807
PG,Action,88,1000000,464126,3142,44,68,6.7,1.85,1641
PG,Action,85,3800000,100669,2522,45,11,5.8,2.35,36885
PG,Action,86,500000,1114943,3562,46,74,6.5,1.85,407
PG,Action,90,2000000,52166,2792,46,22,6.7,2.35,89263
PG,Action,86,3400000,535249,3467,46,13,4.6,1.85,768
PG,Action,82,3000000,4142507,3665,48,81,4.4,1.85,858
PG,Action,96,9000000,27445,3788,48,31,5.3,1.85,561
PG,Action,101,10000000,1631839,5936,49,91,5.7,1.85,17665
PG,Action,97,7000000,233103,2670,49,50,6.9,2.35,2544
PG,Action,84,3000000,10017041,8265,49,20,5.9,1.85,4815
PG,Action,117,25000000,134904,2395,49,17,5.7,1.78,3204
PG,Action,97,10000000,2331318,9541,49,64,3.3,1.85,2603
PG,Action,98,3500000,101228,7228,50,53,6.4,1.85,20009
PG,Action,93,15000000,20380,7519,50,39,5.9,1.85,1245
PG,Action,94,1000000,1744858,6084,51,120,7,2.35,3085
PG,Action,98,250000,3799339,8000,51,138,7.2,1.85,139
PG,Action,93,10000000,900926,9517,51,46,5.3,1.85,3307
PG,Action,106,6000000,27457409,3198,52,43,6.3,1.85,6419
PG,Action,96,8000000,3713002,3611,52,62,2.7,1.85,972
PG,Action,144,9600000,2483955,8369,52,165,6.7,1.85,1674
PG,Action,115,3000000,38168022,4687,53,83,6.6,1.85,1964
PG,Action,93,12000000,10198766,12007,53,105,5.4,1.85,2393
PG,Action,99,2500000,92191,29463,54,84,6.5,1.85,29325
PG,Action,127,35000000,4426297,22570,54,156,6.5,2.35,12947
PG,Action,120,23000000,763044,4257,54,52,6.2,1.85,3286
PG,Action,98,9500000,57176582,27492,55,84,6.1,1.85,3939
PG,Action,90,5000000,6755271,7319,56,131,5.3,1.85,3004
PG,Action,81,1000000,6387,4862,56,37,6.9,1.85,2694
PG,Action,123,17000000,70492685,11600,56,64,6.7,2.35,5306
PG,Action,97,8000000,52961,2103,56,11,5.3,2.35,326
PG,Action,135,10000000,2185266,8720,57,186,6.5,1.85,4266
PG,Action,115,15000000,183088,11704,57,36,7,1.85,2243
PG,Action,84,11000000,13592872,10777,58,79,5.1,1.85,10982
PG,Action,87,20000000,6563357,18571,58,120,5.3,2.35,4218
PG,Action,96,250000,1050600,4662,59,136,6.6,1.85,1378
PG,Action,88,800000,2073984,4743,59,135,7.2,1.85,663
PG,Action,105,65000000,10014234,8560,60,69,5,1.85,3580
PG,Action,112,100000000,3058380,4767,61,69,7.3,2.35,2389
PG,Action,109,12000000,2326407,5016,61,99,7,2.35,7166
PG,Action,99,3800000,19959,3579,61,14,6.9,2.35,298
PG,Action,103,8400000,5725,10220,62,110,6.1,2.35,163
PG,Action,104,90000000,6712451,4102,62,89,4.4,1.85,3133
PG,Action,90,15000000,28870,14280,62,41,5.1,2.35,32814
PG,Action,101,900000,6643,11965,62,39,6.4,2.35,4184
PG,Action,95,36000000,2954405,1977,63,64,5.3,1.85,2928
PG,Action,90,24000000,5108820,12519,63,112,5.9,2.35,12776
PG,Action,97,20000000,8586376,26598,63,132,4.9,1.85,3161
PG,Action,88,5000000,143000,4122,63,48,4.1,2.35,1495
PG,Action,96,6000000,115862,7394,63,50,6.7,2.35,2163
PG,Action,121,18000000,127437,4670,63,27,6,2.35,1887
PG,Action,113,4000000,146402,9913,64,38,7.7,1.85,387
PG,Action,94,20000000,12398628,21542,64,88,6.1,2.35,2880
PG,Action,112,15000000,4734235,8217,65,123,6,1.85,1227
PG,Action,91,900000,381186,13485,65,90,6.4,2.35,3299
PG,Action,96,5250000,766487,15315,65,117,5,1.85,4883
PG,Action,82,70000,30084,5507,65,23,5.6,1.85,11642
PG,Action,86,11000000,4814244,12437,66,107,5.3,1.85,2415
PG,Action,109,8000000,336456,7116,66,79,5.6,1.85,41645
PG,Action,119,8550000,4992159,23823,66,201,5.6,2.35,3306
PG,Action,82,60000,40557,1389,66,22,5.6,2.35,2046
PG,Action,96,9000000,162,5228,66,38,5.7,2.35,2802
PG,Action,89,15500000,313436,12244,67,95,7.6,1.85,155
PG,Action,92,5000000,6239558,5548,67,67,6.7,1.85,1033
PG,Action,92,15000000,23091,5664,67,42,6.2,2.35,11091
PG,Action,125,40000000,1027749,8087,67,33,7.1,2.35,1003
PG,Action,103,65000000,72413,11584,68,86,6.1,2.35,58
PG,Action,90,400000,1689999,3675,69,48,7.1,2.35,771
PG,Action,120,12000000,214202,14831,69,75,7.5,2.35,1952
PG,Action,86,4000000,17314483,14621,69,48,4.7,1.85,4073
PG,Action,115,25000000,55973336,57040,70,365,6.1,2.35,9082
PG,Action,94,11000000,3034181,13622,70,128,5.4,1.85,1559
PG,Action,115,20000000,403932,5254,71,92,6.5,2.35,17104
PG,Action,115,20000000,403932,5254,71,92,6.5,2.35,17104
PG,Action,91,250000,4186931,6041,71,85,6.9,1.85,1330
PG,Action,89,10000000,598645,13145,71,215,3.6,1.85,2006
PG,Action,118,15000000,9059588,17261,71,125,6.6,2.35,1873
PG,Action,104,10000000,3607,22753,71,94,6.1,2.35,940
PG,Action,92,8000000,5018450,8546,72,86,5.3,2.35,2687
PG,Action,86,12000000,333976,12559,72,90,6.4,2.35,1373
PG,Action,106,2000000,395592,21202,72,134,7.6,1.85,2972
PG,Action,127,25000000,14946229,2581,72,29,7.3,2.35,2104
PG,Action,141,7000000,6173485,10672,73,84,7.7,2.35,105
PG,Action,111,4000000,228524,8708,73,56,7.3,2.35,768
PG,Action,134,2500000000,195888,5603,73,45,7.1,2.35,11
PG,Action,108,6800000,49526,16299,74,129,7,2.35,2119
PG,Action,108,8000000,568695,16617,74,110,6.5,2.35,3921
PG,Action,113,20000000,17149,12128,74,61,5.6,2.35,708
PG,Action,129,13500000,186354,1758,74,30,4.5,2.35,26176
PG,Action,95,11000000,13558739,15427,75,121,5.3,1.85,2729
PG,Action,92,16000000,13922211,18271,75,150,4.4,1.85,3935
PG,Action,112,1500000,712294,9408,75,68,6.7,1.66,859
PG,Action,118,15000000,399879,5772,75,115,6.4,2.35,378
PG,Action,100,1000000,396035,2725,76,48,6.9,1.85,2721
PG,Action,90,6000000,4542775,18313,76,73,5.1,1.85,1831
PG,Action,104,12000000,1779284,12047,78,122,7.1,1.85,1292
PG,Action,106,1400000,304124,2720,78,37,6.7,1.85,358
PG,Action,96,2000000,198407,10282,78,78,6.6,1.85,774
PG,Action,90,8000000,303439,12125,78,78,6.4,2.35,2073
PG,Action,95,3500000,37606,31836,78,90,6.8,2.35,2658
PG,Action,104,4500000,3287435,8603,79,115,7.1,1.85,12250
PG,Action,103,18000000,676698,26730,79,180,7.2,1.85,4094
PG,Action,82,10000000,131617,9971,79,119,6.3,1.85,5761
PG,Action,95,8000000,108662,26849,79,107,6,2.35,3185
PG,Action,107,10000000,578527,20008,79,112,5.7,1.78,988
PG,Action,139,50000000,20389967,3077,79,47,6.7,1.85,12786
PG,Action,112,40000000,19151864,36983,80,100,5.9,1.85,3301
PG,Action,114,10000000,447750,18520,81,133,7.2,1.85,2126
PG,Action,95,5000000,5308707,15053,81,165,6.4,1.85,5245
PG,Action,121,9000000,112935,8161,81,94,7.6,1.85,251
PG,Action,110,4500,136007,3924,81,39,6.9,2.35,776
PG,Action,91,500000,154077,6884,81,53,6.6,1.85,1440
PG,Action,132,80000000,10166502,18209,81,183,6.7,2.35,12133
PG,Action,121,15000000,12549485,4603,81,91,6.2,2.35,3633
PG,Action,109,12000000,8134217,15412,81,90,7,2.35,1141
PG,Action,87,50000000,6291602,8070,82,91,5.6,1.85,3954
PG,Action,104,10000000,1011054,10585,82,83,7.2,2.35,23513
PG,Action,86,750000,5518918,12160,82,73,6.9,1.85,3071
PG,Action,93,3000000,200803,7988,82,71,5.3,1.78,1467
PG,Action,102,40000000,6114237,19986,83,207,6.2,1.85,2664
PG,Action,98,1500000,406035,30314,84,159,7.2,1.66,33441
PG,Action,95,6000000,2025238,9589,84,105,5.8,1.85,489
PG,Action,97,6500000,1029017,12049,84,135,6.8,2.35,21107
PG,Action,53,1000000,274661,10564,84,40,7.7,1.85,313
PG,Action,118,1800000,5709616,11088,85,110,6.8,1.85,546
PG,Action,90,7900000,671240,23023,85,149,6.9,2.35,619
PG,Action,148,12800000,1110186,31943,86,224,8.1,2.35,1730
PG,Action,95,25000000,5516708,11375,87,91,4.9,1.85,2413
PG,Action,100,4600000,513836,6304,87,21,7.2,1.85,143
PG,Action,111,5300000,3895664,34383,88,149,7.3,1.85,1858
PG,Action,108,2500000,548712,9233,88,126,6.9,2.35,12385
PG,Action,113,20000000,18882880,20539,88,125,5.9,2.35,4039
PG,Action,142,70000000,43426961,93494,89,394,6.6,2.35,16580
PG,Action,84,10000000,20339754,23928,89,73,5.9,1.85,2737
PG,Action,101,15000000,12801190,16340,90,355,4.6,2.35,2764
PG,Action,87,10000000,1276984,11403,90,150,6.2,1.85,3059
PG,Action,100,12500000,48637684,16979,90,42,6.1,2.35,2800
PG,Action,91,35000000,10214013,23072,90,89,5.4,2.35,1564
PG,Action,104,5000000,1056102,18792,91,153,6.6,1.85,1315
PG,Action,94,3000000,16101109,76467,91,236,6.8,1.85,19957
PG,Action,110,17500000,19179969,54710,91,177,6.3,2.35,35345
PG,Action,138,8000000,10269307,53251,91,188,6.3,2.35,17524
PG,Action,144,25500000,41229,14612,91,41,6.5,2.35,18442
PG,Action,95,5000000,16017403,17333,92,153,6.2,1.85,3300
PG,Action,95,5000000,16017403,17333,92,153,6.2,1.85,3300
PG,Action,107,2000000,768045,19732,92,120,7.7,1.85,976
PG,Action,106,2000000,410241,32357,92,199,6.8,1.85,2110
PG,Action,91,70000000,14294842,16761,92,277,3.6,2.35,1846
PG,Action,98,10000000,30306281,12388,92,147,5.6,2.35,1917
PG,Action,93,25000000,17718223,162067,92,316,6.6,1.85,14180
PG,Action,115,24000000,882710,16215,93,138,6.4,2.35,11433
PG,Action,118,42000000,16252765,44913,93,181,6,2.35,11662
PG,Action,104,18000000,7739049,10680,93,112,7.1,1.85,847
PG,Action,114,1500000,1221261,38215,94,125,7.9,1.85,856
PG,Action,147,130000000,138396624,178126,94,511,6.6,2.35,12954
PG,Action,125,13000000,1172769,28068,94,108,7.1,1.85,37606
PG,Action,101,25000000,876671,22010,94,90,6.9,2.35,504
PG,Action,93,28000000,5204007,42876,95,167,6.3,2.35,1044
PG,Action,100,45000000,5664251,22309,95,102,6.3,2.35,2056
PG,Action,131,57000000,25528495,28099,96,220,5.9,2.35,23325
PG,Action,94,6000000,21005329,89128,96,258,6.4,1.85,19341
PG,Action,99,16000000,37882551,80305,97,393,5.7,1.85,15369
PG,Action,87,15000000,14249005,39788,97,619,4.5,1.85,2689
PG,Action,105,7000000,2062066,11387,97,147,6.6,1.85,2684
PG,Action,107,25000000,871527,14982,97,128,6.5,2.35,16090
PG,Action,110,1100000,56129,6555,97,82,6.1,2.35,645
PG,Action,104,1500000,3447339,29517,97,79,5.8,1.78,2667
PG,Action,129,32000000,48814909,89424,98,224,7.2,2.35,36069
PG,Action,83,22000000,22264487,41239,98,166,4.6,1.85,1729
PG,Action,117,40000000,30981850,35834,98,284,5,2.35,3969
PG,Action,110,35000000,49413,6919,98,26,7.3,2.35,398
PG,Action,96,35000000,183125,36914,98,86,5.5,2.35,14978
PG,Action,125,18000000,15561627,39105,99,359,7.5,2.35,21622
PG,Action,90,43000000,24430272,46158,99,403,5.1,1.85,132
PG,Action,113,84450000,617228,6183,99,27,7.4,1.85,92
PG,Action,107,40000000,29374178,12093,100,188,5.1,2.35,4565
PG,Action,97,28000000,16779636,9338,100,167,4.8,2.35,1805
PG,Action,100,1200000,18488314,76151,100,333,7.1,1.85,2893
PG,Action,91,5500000,1292119,14786,100,144,7.1,1.85,16768
PG,Action,103,9000000,1530535,7833,100,63,5.7,2.35,1721
PG,Action,84,1500000,173066,21379,100,88,6.3,1.85,1238
PG,Action,99,27000000,8712564,16555,101,139,5.9,1.33,1721
PG,Action,102,40000000,14967182,27305,102,284,5.1,2.35,14463
PG,Action,129,19000000,8396942,72715,102,103,6.5,1.85,4324
PG,Action,97,33000000,28927720,22220,103,181,5.3,1.85,18688
PG,Action,94,15600000,68525609,132963,103,302,6.5,1.85,3889
PG,Action,103,3500000,236266,15104,103,290,6.2,2.35,13000
PG,Action,109,18000000,13491653,23728,104,213,6.1,2.35,14995
PG,Action,101,42000000,13208023,17309,104,388,3.3,2.35,4262
PG,Action,108,60000000,22433915,21319,104,166,6.2,2.35,34377
PG,Action,108,7000000,453079,4124,104,29,5.9,2.35,2029
PG,Action,109,25000000,3517797,9004,105,103,6.6,1.85,2759
PG,Action,96,60000000,32122249,69319,105,138,5.9,1.85,22889
PG,Action,109,55000000,8355815,34730,105,341,6.4,1.85,52885
PG,Action,122,16800000,220914,13239,105,97,6.5,1.85,25173
PG,Action,102,38000000,24044532,19686,106,180,5.6,1.85,1440
PG,Action,87,5000000,64267897,67992,106,327,6.6,1.85,1770
PG,Action,98,17000000,1569918,16234,106,113,6.9,2.35,409
PG,Action,113,40000000,128978,22897,106,61,7.1,2.35,6267
PG,Action,101,33000000,51758599,27580,107,232,5.5,2.35,5942
PG,Action,105,57000000,16991902,34592,107,191,6.2,2.35,1265
PG,Action,93,5000000,14015786,37952,107,298,6.5,1.85,27646
PG,Action,99,14000000,12282677,28159,107,96,5.1,1.85,4702
PG,Action,97,14000000,21468807,13048,108,227,4.1,2.35,2682
PG,Action,95,6000000,3029081,26300,108,231,7.8,1.85,993
PG,Action,101,2000000,2506446,8662,108,172,4.7,1.85,11327
PG,Action,98,15000000,353743,20730,109,111,6.9,2.35,3578
PG,Action,122,45000000,76261036,305929,109,633,7.7,2.35,22370
PG,Action,101,30000000,34604054,34942,109,185,5.8,2.35,6867
PG,Action,106,9500000,58214,34224,109,137,7,2.35,916
PG,Action,116,40000000,30199105,25346,110,167,5.7,2.35,3753
PG,Action,97,1000000,7022940,14018,110,190,6.7,1.85,1173
PG,Action,131,60000000,18208078,57100,110,281,6.9,2.35,3012
PG,Action,109,36000000,26183197,38348,110,135,6.1,2.35,16611
PG,Action,88,1500000,7362100,60295,110,232,7.4,1.85,479
PG,Action,88,1750211,1523883,9037,110,70,7.8,1.85,15
PG,Action,110,300000000,102055,24570,110,72,6.2,2.35,134
PG,Action,127,13000000,301305,31414,110,180,4.3,2.35,796
PG,Action,93,13000000,4919896,21530,111,159,6.1,2.35,1775
PG,Action,88,6500000,13367101,19715,111,166,5.9,2.35,1140
PG,Action,103,4000000,542860,9230,111,37,7.1,2.35,219
PG,Action,112,3000000,26345,16445,111,99,6.1,2.35,4810
PG,Action,112,4000000,375723,7025,111,26,7.9,2.35,76
PG,Action,125,60000000,19076815,43651,112,196,6.3,2.35,15916
PG,Action,102,38000000,7659747,14962,112,204,5.1,1.85,14165
PG,Action,111,200000000,11905519,30210,112,214,7.1,1.85,2205
PG,Action,105,14000000,63260,14325,112,90,6.7,2.35,1185
PG,Action,109,2000000,2706659,17770,112,172,6.9,1.85,5977
PG,Action,93,500000,48430,20176,112,73,6.8,1.85,1452
PG,Action,113,50000000,54997476,40362,113,248,6.3,2.35,3341
PG,Action,125,42000000,15738632,38076,113,399,5.9,2.35,14536
PG,Action,93,500000,145540,26773,114,277,6.7,1.85,2489
PG,Action,100,3000000,11694528,7721,114,72,7.2,1.85,2165
PG,Action,96,4000000,1325073,18762,114,91,6.6,2.35,1208
PG,Action,99,900000,18378,9376,114,74,5.2,1.85,1558
PG,Action,122,6000000,8596914,23023,115,148,7,1.85,1517
PG,Action,139,45000000,4584886,19114,115,115,6.4,2.35,538
PG,Action,88,850000,1243961,13421,115,34,6,2.35,3770
PG,Action,98,25000000,36833473,53126,116,254,6.6,2.35,7945
PG,Action,112,22000000,36020063,62584,116,375,6.6,2.35,2019
PG,Action,90,15000000,4360548,13371,116,60,6.4,1.85,2661
PG,Action,186,14000000,46495,12053,116,119,6.5,1.85,14638
PG,Action,119,8500000,6047856,27536,117,327,6.7,1.85,358
PG,Action,131,18000000,3752725,29715,117,161,7.1,2.35,16252
PG,Action,99,7000000,1654367,18355,117,106,6.4,1.85,6526
PG,Action,88,1000000,104077,46076,117,88,7.4,1.78,4720
PG,Action,108,15000000,1039869,14757,117,51,6.2,2.35,18739
PG,Action,119,50000000,39778599,176169,118,548,6.6,2.35,29461
PG,Action,116,2000000,3335839,54657,118,222,7,1.85,50313
PG,Action,111,35000000,11405825,28542,119,208,6.8,2.35,19805
PG,Action,110,41000000,116724075,187181,119,564,7,2.35,1954
PG,Action,97,15000000,12212417,30643,119,144,6.7,2.35,1172
PG,Action,103,25000000,22466994,72673,119,166,6.3,2.35,33565
PG,Action,96,10000000,20384136,20467,120,371,4.7,2.35,2402
PG,Action,98,7000000,23838,28570,120,160,5.5,2.35,2271
PG,Action,93,4000000,2426851,16224,121,76,6.5,2.55,776
PG,Action,111,1200000,9180275,22145,122,231,7.7,1.85,4288
PG,Action,99,28000000,33000377,27378,122,365,4.9,2.35,23344
PG,Action,111,7000000,6200756,96129,122,488,7.4,1.85,34106
PG,Action,94,2800000,1247453,11202,122,123,6.8,2.35,3690
PG,Action,88,24000000,74608545,185258,123,404,7.2,2.35,10325
PG,Action,109,45000000,74484168,109894,123,340,6.9,2.35,2740
PG,Action,98,25000000,1512815,8885,123,56,5.8,2.35,21414
PG,Action,114,50000000,40905277,45895,124,157,6.5,2.35,19739
PG,Action,86,1700000,992238,16349,124,103,6.8,1.85,763
PG,Action,131,13500000,85433,69676,124,131,7.8,2.35,5954
PG,Action,123,34000000,66808615,87351,125,344,6.1,2.35,43917
PG,Action,118,9000000,18761993,19007,125,219,6.9,2.35,2944
PG,Action,81,4000000,7825820,13086,125,156,5.9,1.85,50831
PG,Action,99,40000000,15279680,48245,125,154,5.4,1.85,12166
PG,Action,107,28000000,6998324,11476,125,50,6.1,1.85,3944
PG,Action,124,34000000,23360779,31113,126,212,5.7,2.35,10838
PG,Action,100,1500000,4599680,68222,126,545,6.8,1.85,2186
PG,Action,90,500000,603943,26407,126,154,7.3,1.85,2655
PG,Action,110,25000000,14589444,171151,126,513,6.8,1.85,911
PG,Action,89,10000000,7764027,38459,126,119,6.7,2.35,2061
PG,Action,100,1500000,373967,43839,127,481,6.5,2.35,469
PG,Action,83,45000000,71277420,119590,127,548,5.2,1.85,1645
PG,Action,105,7500000,10460089,34098,127,214,7.2,1.85,1442
PG,Action,101,27000000,4476235,49405,127,226,6.4,2.35,4186
PG,Action,101,25000000,35000629,74622,127,150,5.6,1.85,2822
PG,Action,123,12000000,25776062,61651,128,271,7.4,1.85,7072
PG,Action,111,8000000,3076425,23660,128,162,7.1,1.85,3543
PG,Action,108,18000000,3203044,25165,128,155,6.4,2.35,14843
PG,Action,98,24000000,57262492,90374,129,318,6.7,1.85,17582
PG,Action,118,13000000,1150403,14143,129,102,7.1,1.85,3474
PG,Action,92,9000000,4881867,15200,129,76,6.4,1.85,3767
PG,Action,86,2500000,40041683,34620,129,107,5.1,1.85,3421
PG,Action,103,5000000,3093491,8307,129,37,6.6,1.85,1283
PG,Action,104,17000000,82389560,106820,129,147,6.5,1.85,3627
PG,Action,100,15000000,20566327,15385,129,84,6.4,2.35,2958
PG,Action,113,31500000,14268533,17319,130,100,6.3,2.35,10910
PG,Action,98,50000000,26536120,49926,131,286,6.5,2.35,3357
PG,Action,121,54000000,5660084,41620,131,418,2.4,2.35,286
PG,Action,122,27500000,9664316,47203,131,197,6.8,2.35,50950
PG,Action,122,10000000,531009,7976,131,61,5.3,2.35,22319
PG,Action,124,13500000,7060876,44795,132,314,7.4,1.85,14726
PG,Action,120,8000000,16938179,41313,132,246,7,1.85,17336
PG,Action,122,12000000,6754898,20000,132,188,6.2,2.35,1291
PG,Action,104,60000000,74058698,59232,133,317,6.3,2.35,17109
PG,Action,93,7500000,197148,18109,133,150,6.3,2.35,1176
PG,Action,90,5000000,65087,8824,133,108,6.2,1.85,408
PG,Action,84,8600000,14373825,63216,133,196,6.5,2.35,6954
PG,Action,84,6000000,5895238,17169,133,70,5.5,2.35,10123
PG,Action,89,35000000,21784432,37493,133,108,5.6,2.35,74181
PG,Action,135,65000000,32598931,49300,134,265,6.2,2.35,1013
PG,Action,106,7000000,382946,43965,134,99,7.1,2.35,44969
PG,Action,129,30000000,537580,52972,134,124,6.8,2.35,19620
PG,Action,108,85000000,40048332,61417,135,339,5.5,1.85,1460
PG,Action,94,55000000,34238611,35830,135,321,6,1.85,2248
PG,Action,112,6000000,3432342,24921,135,166,7.7,2.35,253
PG,Action,103,60000000,13395939,43442,135,146,6.2,1.85,3639
PG,Action,110,27000000,2775593,61269,135,98,6.5,1.85,858
PG,Action,126,20000000,17804273,20449,136,370,7,1.85,25660
PG,Action,115,50000000,31874869,43574,136,302,6.1,1.85,34606
PG,Action,115,50000000,31874869,43575,136,302,6.1,1.85,34605
PG,Action,99,9000000,4681503,29058,136,238,7,2.35,2478
PG,Action,91,30000000,51475962,177828,136,714,7.3,2.35,3969
PG,Action,146,94000000,9213,38690,136,130,7.6,2.35,23240
PG,Action,97,23000000,6923891,43867,136,83,6.3,2.35,5519
PG,Action,114,7000000,13876974,19397,137,214,7.4,1.85,809
PG,Action,97,10000000,8111360,34848,137,203,7.4,1.85,1334
PG,Action,101,35000000,30307804,43991,137,695,5.2,2.35,3001
PG,Action,103,20000000,11034436,13505,137,180,7.1,1.85,5637
PG,Action,104,25000000,1089365,23767,137,111,5.7,2.35,71973
PG,Action,89,7000000,15818967,13913,137,120,4,1.85,2517
PG,Action,113,12000000,4717455,18632,138,354,5.3,1.85,1171
PG,Action,104,4500000,108229,30836,138,137,5.9,2.35,15860
PG,Action,105,22000000,1796024,34985,138,135,5.4,2.35,37766
PG,Action,97,23000000,21973182,53415,140,339,6.6,2.35,23242
PG,Action,96,17000000,37939782,62272,140,207,5.6,1.85,3294
PG,Action,93,8000000,298110,25055,140,98,6.8,2.35,786
PG,Action,124,68000000,71069884,101899,141,445,6.8,2.35,32871
PG,Action,124,75000000,78120196,103241,141,742,7.1,2.35,6181
PG,Action,130,50000000,19593740,88270,141,420,7.5,2.35,32637
PG,Action,84,12000000,1197786,55928,141,157,7.2,2.35,962
PG,Action,112,16000000,317125,23334,141,87,6.2,2.35,25269
PG,Action,108,30000000,145096820,200260,142,431,6.4,1.85,7872
PG,Action,114,92000000,26871,121259,142,361,7,2.35,12499
PG,Action,116,25000000,7156933,14581,142,74,6.7,1.85,1134
PG,Action,115,4000000,8060,81644,142,107,8.1,1.85,666
PG,Action,110,4000000,6525762,44339,143,425,6.7,1.85,19928
PG,Action,108,40000000,40203020,74315,143,259,5.9,2.35,15634
PG,Action,92,25000000,1550000,30628,143,471,2.9,2.35,2930
PG,Action,112,25000000,10911750,17757,143,99,6.5,1.85,43560
PG,Action,96,5000000,1474508,33473,144,88,6.5,2.35,4607
PG,Action,98,10000000,449558,32307,145,75,7.6,1.85,1163
